station,window_months,window_start_month,window_end_month,rolling_mean_cfs,partial_months_in_window,unusable_months_in_window,historical_rank_lowest,historical_n,low_flow_percentile
Comal Springs,6,2025-05-01,2025-10-01,94.36648745519713,0,0,44,1130,3.893805309734513
Comal Springs,6,2025-04-01,2025-09-01,94.52759856630824,0,0,45,1130,3.982300884955752
Comal Springs,6,2025-06-01,2025-11-01,95.03010752688172,0,0,46,1130,4.070796460176991
Comal Springs,6,2024-05-01,2024-10-01,95.13799283154121,0,0,47,1130,4.15929203539823
Comal Springs,6,1984-03-01,1984-08-01,97.49498207885306,0,0,48,1130,4.2477876106194685
Comal Springs,6,2023-06-01,2023-11-01,99.16200716845879,0,0,49,1130,4.336283185840708
Comal Springs,6,1989-06-01,1989-11-01,100.0437275985663,0,0,50,1130,4.424778761061947
Comal Springs,9,1956-04-01,1956-12-01,14.446833930704898,0,0,1,1127,0.08873114463176575
Comal Springs,9,1956-05-01,1957-01-01,15.524014336917563,0,0,2,1127,0.1774622892635315
Comal Springs,9,1956-06-01,1957-02-01,17.945929339477726,0,0,3,1127,0.26619343389529726
Comal Springs,9,1956-03-01,1956-11-01,18.185185185185183,0,0,4,1127,0.354924578527063
Comal Springs,9,1956-07-01,1957-03-01,24.80005120327701,0,0,5,1127,0.44365572315882873
Comal Springs,9,1956-02-01,1956-10-01,26.17177522349936,0,0,6,1127,0.5323868677905945
Comal Springs,9,1956-01-01,1956-09-01,36.27930210521979,0,0,7,1127,0.6211180124223602
Comal Springs,9,1956-08-01,1957-04-01,36.333384536610346,0,0,8,1127,0.709849157054126
Comal Springs,9,1955-12-01,1956-08-01,46.304391710954555,0,0,9,1127,0.7985803016858917
Comal Springs,9,1955-11-01,1956-07-01,54.29698430354715,0,0,10,1127,0.8873114463176575
Comal Springs,9,1956-09-01,1957-05-01,56.738402457757296,0,0,11,1127,0.97604259094942325
Comal Springs,9,1955-10-01,1956-06-01,60.816697565195895,0,0,12,1127,1.064773735581189
Comal Springs,9,1955-09-01,1956-05-01,66.42780867630701,0,0,13,1127,1.1535048802129548
Comal Springs,9,1955-08-01,1956-04-01,69.11239648992708,0,0,14,1127,1.2422360248447204
Comal Springs,9,2024-09-01,2025-05-01,71.17873357228196,0,0,15,1127,1.3309671694764862
Comal Springs,9,1955-07-01,1956-03-01,71.71287438717917,0,0,16,1127,1.419698314108252
Comal Springs,9,1955-05-01,1956-01-01,73.71589008363202,0,0,17,1127,1.5084294587400178
Comal Springs,9,1955-06-01,1956-02-01,73.75445144811107,0,0,18,1127,1.5971606033717833
Comal Springs,9,2024-10-01,2025-06-01,74.24169653524493,0,0,19,1127,1.6858917480035491
Comal Springs,9,2025-08-01,2026-04-01,74.6857654889913,0,0,20,1127,1.774622892635315
