station,year,month,observed_days,monthly_mean_cfs,expected_days,coverage_pct,complete_month,year_status,year_used,forced_include,month_status,month_usable_for_rolling
Comal Springs,1931,1931-12-01,31,295.741935483871,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1932,1932-01-01,31,319.96774193548384,31,100,TRUE,"PARTIAL, RETAINED",TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1932,1932-02-01,29,309,29,100,TRUE,"PARTIAL, RETAINED",TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1932,1932-03-01,31,325.6774193548387,31,100,TRUE,"PARTIAL, RETAINED",TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1932,1932-04-01,27,304.44444444444446,30,90,FALSE,"PARTIAL, RETAINED",TRUE,FALSE,"PARTIAL, USABLE",TRUE
Comal Springs,1932,1932-05-01,31,302.35483870967744,31,100,TRUE,"PARTIAL, RETAINED",TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1932,1932-06-01,30,310.3666666666667,30,100,TRUE,"PARTIAL, RETAINED",TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1932,1932-07-01,31,333,31,100,TRUE,"PARTIAL, RETAINED",TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1932,1932-08-01,31,345.35483870967744,31,100,TRUE,"PARTIAL, RETAINED",TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1932,1932-09-01,29,337.41379310344826,30,96.66666666666667,FALSE,"PARTIAL, RETAINED",TRUE,FALSE,"PARTIAL, USABLE",TRUE
Comal Springs,1932,1932-10-01,31,323.38709677419354,31,100,TRUE,"PARTIAL, RETAINED",TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1932,1932-11-01,30,316.1666666666667,30,100,TRUE,"PARTIAL, RETAINED",TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1932,1932-12-01,31,320.16129032258067,31,100,TRUE,"PARTIAL, RETAINED",TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-01-01,31,310.9032258064516,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-02-01,28,298.89285714285717,28,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-03-01,31,309.48387096774195,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-04-01,30,339.9,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-05-01,31,323.61290322580646,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-06-01,30,303.8333333333333,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-07-01,31,316.4193548387097,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-08-01,31,305.19354838709677,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-09-01,30,311.46666666666664,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
